Fuel Type Code,Station Name,Street Address,City,State,Latitude,Longitude,Open Date
Ethanol Fuel,Meijer Gas #176,2700 Prairie Crossing Dr,Springfield,IL,39.735916,-89.704303,2007-10-15
Ethanol Fuel,Meijer Gas #207,1800 E College Ave,Normal,IL,40.510825,-88.948469,2007-11-15
Ethanol Fuel,Grainco FS,8115 S State Route 47,Yorkville,IL,41.602711,-88.436269,2007-10-15
Ethanol Fuel,Mobil - North Damen Mart,2801 N Damen Ave,Chicago,IL,41.932702,-87.67812,2008-03-15
Ethanol Fuel,Mobil - Midway,8145 S Pulaski,Chicago,IL,41.744262,-87.72134,2008-05-15
Ethanol Fuel,City of Chicago FS#6,10101 S Stoney Island,Chicago,IL,41.710606,-87.623157,2008-06-15
Ethanol Fuel,City of Chicago FS#5,4833 W Sunnyside Ave,Chicago,IL,41.962551,-87.748808,2008-06-15
Ethanol Fuel,City of Chicago FS#3,4233 W Ferdinand,Chicago,IL,41.889066,-87.732603,2008-06-15
Ethanol Fuel,City of Chicago FS#9,25 W 65th St,Chicago,IL,41.776439,-87.625954,2010-03-15
Ethanol Fuel,City of Chicago FS#7,10000 W Montrose Ave,Chicago,IL,41.95940310555005,-87.83946993386843,2008-06-15
Ethanol Fuel,City of Chicago FS#4,3746 S Iron,Chicago,IL,41.826171,-87.659383,2008-10-15
Compressed Natural Gas,City of Chicago FS#3,4233 W Ferdinand,Chicago,IL,41.889066,-87.732603,2008-07-15
Compressed Natural Gas,City of Chicago FS#9,25 W 65th St,Chicago,IL,41.776439,-87.625954,2008-07-15
Ethanol Fuel,Petro Travel Plaza,900 Petro Dr,Rochelle,IL,41.93549,-89.032205,2008-07-15
Ethanol Fuel,Shell - Gages Lake,33978 N US 45,Gages Lake,IL,42.356644,-88.003008,2008-07-15
Ethanol Fuel,Pacific Pride Station,880 Peace Rd,DeKalb,IL,41.935712,-88.723735,2018-05-15
Compressed Natural Gas,Village of Homewood,17755 Ashland Ave,Homewood,IL,41.564817,-87.650402,2001-10-01
Compressed Natural Gas,Village of Oak Park,201 South Blvd,Oak Park,IL,41.887059,-87.780595,
Liquified Petroleum Gas,Forest Preserve District of DuPage County,29 W 220 Mack Rd,West Chicago,IL,41.8421803,-88.18570235767208,2008-12-18
Ethanol Fuel,Shell - East Dundee,1097 E Main St,East Dundee,IL,42.088071,-88.244838,2007-01-01
Ethanol Fuel,Midwest Petroleum - ZX,4001 S State Route 159,Glen Carbon,IL,38.77384,-89.957272,2009-01-27
Ethanol Fuel,Sullivan's Fuels,605 Tenney St,Kewanee,IL,41.223621,-89.928818,2008-08-01
Ethanol Fuel,Meijer Gas #247,2602 S Philo Rd,Urbana,IL,40.08436509672986,-88.18982745449216,2008-08-01
ELEC,City of Champaign - Hill Street Parking Deck,123 W Hill St,Champaign,IL,40.119161,-88.244185,2009-01-15
Ethanol Fuel,Mobil - Lisle,5500 S Lincoln,Lisle,IL,41.78648498972133,-88.07452908465575,2008-12-23
Ethanol Fuel,Effingham Fast Stop General Store,410 S Willow St,Effingham,IL,39.117958,-88.537445,2009-04-03
Ethanol Fuel,Fast Stop,11109 Old Highway 50,Flora,IL,38.672436,-88.4433,2009-04-14
Liquified Petroleum Gas,Ferrellgas,4421 W Jefferson St,Springfield,IL,39.823785,-89.738005,2009-08-13
Liquified Petroleum Gas,Fuel 24,1200 N Cheney St,Taylorville,IL,39.561728,-89.306125,2009-08-13
Liquified Petroleum Gas,South Central FS,708 S Meridian,Toledo,IL,39.2643241613476,-88.24421067724609,2009-08-13
Liquified Petroleum Gas,Illini FS Farmtown,1509 E University Ave,Urbana,IL,40.115073,-88.188064,2009-08-13
Liquified Petroleum Gas,Effingham Fast Stop General Store,410 S Willow St,Effingham,IL,39.117958,-88.537445,2009-08-13
Ethanol Fuel,Green Mount MotoMart,1790 Frank Scott Pkwy E,Shiloh,IL,38.57024499973927,-89.92985785687254,2009-06-15
Ethanol Fuel,Fuel 24 - Annawan,227 N Canal St,Annawan,IL,41.401124,-89.904588,2009-06-15
Ethanol Fuel,Han Dee Mart,411 N Main St,Caseyville,IL,38.640715,-90.021213,2008-02-15
Compressed Natural Gas,MetroLINK Transit,3635 4th Ave,Moline,IL,41.512238,-90.485429,2003-08-15
Ethanol Fuel,Power Mart,572 W Lake St,Elmhurst,IL,41.919913,-87.958905,2017-10-15
Ethanol Fuel,Thorntons #386,101 S Mattis Ave,Champaign,IL,40.116096,-88.277322,2009-12-15
Ethanol Fuel,E-K Petro Mart,305 S Hamilton St,Sullivan,IL,39.596804,-88.609743,2010-05-21
Ethanol Fuel,Roc One Stop,309 E DeYoung St,Marion,IL,37.740619,-88.923931,2010-05-15
Compressed Natural Gas,MetroLINK Transit,4501 4th Ave,Rock Island,IL,41.50853,-90.538568,2014-04-28
Ethanol Fuel,City of Chicago FS#2,6445 N Ravenswood Ave,Chicago,IL,41.998997,-87.675032,2011-11-15
Ethanol Fuel,City of Chicago FS#202,5150 W 63rd St,Chicago,IL,41.778249,-87.750999,2011-11-10
Ethanol Fuel,City of Chicago FS#205,3245 N Campbell,Chicago,IL,41.940786,-87.690611,2012-03-31
Ethanol Fuel,City of Chicago FS#8,10420 S Vincennes,Chicago,IL,41.704048,-87.657047,2011-10-15
Compressed Natural Gas,CNG Calumet,130 State St,Calumet City,IL,41.622812,-87.527426,2013-08-01
ELEC,INTERPARK ADAMS WABASH 2,17 E Adams St,Chicago,IL,41.879444,-87.626366,2010-10-15
ELEC,INTERPARK WILLIS TOWER 1,211 W Adams St,Chicago,IL,41.879081,-87.634561,2010-10-15
ELEC,INTERPARK WASH FRANK NEW,230 W Washington St,Chicago,IL,41.883404,-87.635081,2010-10-15
ELEC,INTERPARK 20 E RANDOLPH 1,20 E Randolph St,Chicago,IL,41.884727,-87.627014,2010-10-15
ELEC,INTERPARK LAKE & WELLS 2,177 N Wells St,Chicago,IL,41.885223,-87.633751,2010-10-15
ELEC,INTERPARK 50 EAST OHIO 2,50 E Ohio St,Chicago,IL,41.892757,-87.626038,2011-02-15
Ethanol Fuel,Raceco,450 Cicero Ave,University Park,IL,41.456092,-87.733179,2008-10-31
